Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t1,9,491
oa1,t6,0,500
oa2,t1,9,491
oa2,t6,0,500
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa1,i2,t1,1,0,0
oa1,i2,t2,1,0,0
oa1,i2,t3,1,0,0
oa1,i2,t5,0,0,1
oa1,i2,t0,1,1,0
oa2,i1,t1,1,0,0
oa2,i1,t2,1,0,0
oa2,i1,t3,1,0,0
oa2,i1,t5,0,0,1
oa2,i1,t0,1,1,0

Zero data:
oa2,i2,t1,0,0,0
oa3,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa2,i2,t2,0,0,0
oa3,i2,t2,0,0,0
oa4,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa2,i2,t3,0,0,0
oa3,i2,t3,0,0,0
oa4,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa2,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
oa1,i1,t1,0,0,0
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa1,i1,t2,0,0,0
oa3,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa1,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa1,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t1,10,490
oa1,t6,0,500
oa2,t1,9,491
oa2,t6,0,500
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa2,i1,t1,1,0,0
oa2,i1,t2,1,0,0
oa2,i1,t3,1,0,0
oa2,i1,t5,0,0,1
oa2,i1,t0,1,1,0
oa1,i2,t1,1,0,0
oa1,i2,t2,1,0,0
oa1,i2,t3,1,0,0
oa1,i2,t5,0,0,1
oa1,i2,t0,1,1,0

Zero data:
oa1,i1,t1,0,0,0
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa1,i1,t2,0,0,0
oa3,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa1,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa1,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa2,i2,t1,0,0,0
oa3,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa2,i2,t2,0,0,0
oa3,i2,t2,0,0,0
oa4,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa2,i2,t3,0,0,0
oa3,i2,t3,0,0,0
oa4,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa2,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa2,t2,9,491
oa2,t6,-1,501
oa2,t1,9,491
ra5,t1,10,90
ra5,t2,1,99
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa2,i1,t1,1,1,0
ra5,i1,t1,0,0,1
oa2,i1,t2,1,0,0
oa2,i1,t3,1,0,0
oa2,i1,t5,0,0,1
ra5,i1,t0,1,1,0
oa2,i2,t1,1,0,0
oa2,i2,t2,1,0,0
oa2,i2,t3,1,0,0
oa2,i2,t5,0,0,1
oa2,i2,t0,1,1,0

Zero data:
oa1,i1,t1,0,0,0
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
oa1,i1,t2,0,0,0
oa3,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa1,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa1,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa1,i2,t1,0,0,0
oa3,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa1,i2,t2,0,0,0
oa3,i2,t2,0,0,0
oa4,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa1,i2,t3,0,0,0
oa3,i2,t3,0,0,0
oa4,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa1,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t1,9,491
oa1,t6,0,500
oa2,t1,9,491
oa2,t6,0,500
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa2,i1,t1,1,0,0
oa2,i1,t2,1,0,0
oa2,i1,t3,1,0,0
oa2,i1,t5,0,0,1
oa2,i1,t0,1,1,0
oa1,i2,t1,1,0,0
oa1,i2,t2,1,0,0
oa1,i2,t3,1,0,0
oa1,i2,t5,0,0,1
oa1,i2,t0,1,1,0

Zero data:
oa1,i1,t1,0,0,0
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa1,i1,t2,0,0,0
oa3,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa1,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa1,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa2,i2,t1,0,0,0
oa3,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa2,i2,t2,0,0,0
oa3,i2,t2,0,0,0
oa4,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa2,i2,t3,0,0,0
oa3,i2,t3,0,0,0
oa4,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa2,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t1,9,491
oa1,t6,0,500
oa2,t1,10,490
oa2,t6,0,500
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa1,i1,t1,1,0,0
oa1,i1,t2,1,0,0
oa1,i1,t3,1,0,0
oa1,i1,t5,0,0,1
oa1,i1,t0,1,1,0
oa2,i2,t1,1,0,0
oa2,i2,t2,1,0,0
oa2,i2,t3,1,0,0
oa2,i2,t5,0,0,1
oa2,i2,t0,1,1,0

Zero data:
oa2,i1,t1,0,0,0
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa2,i1,t2,0,0,0
oa3,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa2,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa2,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa1,i2,t1,0,0,0
oa3,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa1,i2,t2,0,0,0
oa3,i2,t2,0,0,0
oa4,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa1,i2,t3,0,0,0
oa3,i2,t3,0,0,0
oa4,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa1,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t1,9,491
oa1,t6,0,500
oa2,t1,10,490
oa2,t6,0,500
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa2,i1,t1,1,0,0
oa2,i1,t2,1,0,0
oa2,i1,t3,1,0,0
oa2,i1,t5,0,0,1
oa2,i1,t0,1,1,0
oa1,i2,t1,1,0,0
oa1,i2,t2,1,0,0
oa1,i2,t3,1,0,0
oa1,i2,t5,0,0,1
oa1,i2,t0,1,1,0

Zero data:
oa1,i1,t1,0,0,0
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa1,i1,t2,0,0,0
oa3,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa1,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa1,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa2,i2,t1,0,0,0
oa3,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa2,i2,t2,0,0,0
oa3,i2,t2,0,0,0
oa4,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa2,i2,t3,0,0,0
oa3,i2,t3,0,0,0
oa4,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa2,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t3,9,491
oa1,t6,0,500
oa1,t1,9,491
oa2,t1,9,491
oa2,t3,0,500
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa2,i1,t1,1,0,0
oa1,i1,t2,1,1,0
oa2,i1,t2,0,0,1
oa1,i1,t3,1,0,0
oa1,i1,t5,0,0,1
oa2,i1,t0,1,1,0
oa1,i2,t1,1,0,0
oa1,i2,t2,1,0,0
oa1,i2,t3,1,0,0
oa1,i2,t5,0,0,1
oa1,i2,t0,1,1,0

Zero data:
oa1,i1,t1,0,0,0
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa3,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa2,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa2,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa2,i2,t1,0,0,0
oa3,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa2,i2,t2,0,0,0
oa3,i2,t2,0,0,0
oa4,i2,t2,0,0,0
ra5,i2,t2,0,0,0
oa2,i2,t3,0,0,0
oa3,i2,t3,0,0,0
oa4,i2,t3,0,0,0
ra5,i2,t3,0,0,0
oa1,i2,t4,0,0,0
oa2,i2,t4,0,0,0
oa3,i2,t4,0,0,0
oa4,i2,t4,0,0,0
ra5,i2,t4,0,0,0
oa2,i2,t5,0,0,0
oa3,i2,t5,0,0,0
oa4,i2,t5,0,0,0
ra5,i2,t5,0,0,0
Execution Time:,0
Count:,0
Access Point,Time,Used Bandwidth,Remaining Bandwidth
oa1,t1,9,491
oa1,t6,0,500
oa2,t1,10,490
oa2,t6,0,500
Access Point,Node,Time,Connections,Establish Connections,Disconnection
oa1,i1,t1,1,0,0
oa1,i1,t2,1,0,0
oa1,i1,t3,1,0,0
oa1,i1,t5,0,0,1
oa1,i1,t0,1,1,0
oa2,i2,t1,1,0,0
oa2,i2,t2,1,0,0
oa2,i2,t3,1,0,0
oa2,i2,t5,0,0,1
oa2,i2,t0,1,1,0

Zero data:
oa2,i1,t1,0,0,0
oa3,i1,t1,0,0,0
oa4,i1,t1,0,0,0
ra5,i1,t1,0,0,0
oa2,i1,t2,0,0,0
oa3,i1,t2,0,0,0
oa4,i1,t2,0,0,0
ra5,i1,t2,0,0,0
oa2,i1,t3,0,0,0
oa3,i1,t3,0,0,0
oa4,i1,t3,0,0,0
ra5,i1,t3,0,0,0
oa1,i1,t4,0,0,0
oa2,i1,t4,0,0,0
oa3,i1,t4,0,0,0
oa4,i1,t4,0,0,0
ra5,i1,t4,0,0,0
oa2,i1,t5,0,0,0
oa3,i1,t5,0,0,0
oa4,i1,t5,0,0,0
ra5,i1,t5,0,0,0
oa1,i2,t1,0,0,0
oa3,i2,t1,0,0,0
oa4,i2,t1,0,0,0
ra5,i2,t1,0,0,0
oa1,i2,t2,0,0,0
